filename,label
0509.jpg,bakso
0041.jpg,nasi_goreng
0023.jpg,nasi_goreng
0168.jpg,bakso
0016.jpg,soto_ayam
0884.jpg,gado_gado
0235.jpg,gado_gado
0202.jpg,nasi_goreng
0839.jpg,bakso
0590.jpg,gado_gado
0595.jpg,rendang
0262.jpg,gado_gado
0260.jpg,soto_ayam
0774.jpg,rendang
0506.jpg,gado_gado
0179.jpg,soto_ayam
1096.jpg,gado_gado
1027.jpg,bakso
0282.jpg,gado_gado
0052.jpg,nasi_goreng
0960.jpg,rendang
0911.jpeg,bakso
0638.jpg,gado_gado
0372.jpg,gado_gado
0522.jpg,nasi_goreng
0375.jpg,bakso
0152.jpg,rendang
0337.jpg,soto_ayam
0031.jpg,rendang
0969.jpg,nasi_goreng
0033.jpg,gado_gado
0739.jpg,rendang
1048.jpg,gado_gado
1043.jpg,bakso
1082.jpg,soto_ayam
0871.jpg,soto_ayam
0672.jpg,rendang
1075.jpg,rendang
0754.jpg,nasi_goreng
0227.jpg,rendang
0978.jpg,soto_ayam
0292.jpg,bakso
0752.jpg,soto_ayam
0990.jpg,nasi_goreng
0520.jpg,gado_gado
0068.jpg,nasi_goreng
0651.jpg,soto_ayam
0084.jpg,bakso
0532.jpg,gado_gado
1010.jpg,nasi_goreng
0689.jpg,soto_ayam
0456.jpg,rendang
1023.jpg,soto_ayam
0364.jpg,nasi_goreng
0722.jpg,gado_gado
0005.jpg,bakso
0948.jpg,bakso
0155.jpg,soto_ayam
0931.jpg,soto_ayam
0890.jpg,rendang
0897.jpg,soto_ayam
0821.jpg,bakso
0090.jpg,soto_ayam
1057.jpg,bakso
0140.jpg,bakso
0156.jpg,nasi_goreng
0643.jpg,rendang
0833.jpg,gado_gado
1009.jpg,soto_ayam
0485.jpg,nasi_goreng
0566.jpg,gado_gado
0246.jpg,nasi_goreng
0322.jpg,nasi_goreng
0679.jpg,gado_gado
0006.jpg,soto_ayam
0510.jpg,bakso
0465.jpg,nasi_goreng
0333.jpg,soto_ayam
0875.jpg,soto_ayam
1025.jpg,nasi_goreng
0230.jpg,nasi_goreng
1076.jpg,bakso
0898.jpg,nasi_goreng
1074.jpg,bakso
0829.jpg,nasi_goreng
0944.jpg,rendang
0415.jpg,gado_gado
0424.jpg,rendang
0170.jpg,rendang
0766.jpg,bakso
1099.jpg,bakso
0955.jpg,rendang
0782.jpg,nasi_goreng
0609.jpg,soto_ayam
0184.jpg,soto_ayam
0256.jpg,rendang
0806.jpg,bakso
0962.jpg,bakso
0463.jpg,rendang
0266.jpg,rendang
1054.jpg,bakso
0850.jpg,gado_gado
1045.jpg,soto_ayam
0435.jpg,gado_gado
0538.jpg,rendang
0896.jpg,gado_gado
0664.jpg,bakso
0785.jpg,rendang
0868.jpg,soto_ayam
1026.jpg,rendang
0172.jpg,nasi_goreng
0348.jpg,rendang
0141.jpg,rendang
0145.jpg,rendang
1066.jpg,gado_gado
0761.jpg,nasi_goreng
0598.jpg,nasi_goreng
0220.jpg,soto_ayam
0912.jpg,nasi_goreng
0687.jpg,soto_ayam
1100.jpg,bakso
1032.jpg,rendang
0447.jpg,rendang
0289.jpg,bakso
0171.jpg,nasi_goreng
0759.jpg,gado_gado
0695.jpg,rendang
0277.jpg,soto_ayam
0012.jpg,nasi_goreng
0963.jpg,rendang
0002.jpg,gado_gado
0062.jpg,rendang
0500.jpg,rendang
0086.jpg,soto_ayam
0970.jpg,nasi_goreng
0039.jpg,bakso
0423.jpg,nasi_goreng
1040.jpg,nasi_goreng
0865.jpg,gado_gado
0389.jpg,rendang
0837.jpg,gado_gado
0416.jpg,nasi_goreng
0958.jpg,soto_ayam
0599.jpg,soto_ayam
0887.jpg,bakso
0933.jpg,gado_gado
0775.jpg,gado_gado
0696.jpg,nasi_goreng
0623.jpg,nasi_goreng
0700.jpg,nasi_goreng
0231.jpg,bakso
0628.jpg,nasi_goreng
0444.jpg,bakso
0341.jpg,rendang
0636.jpg,soto_ayam
0668.jpg,soto_ayam
0855.jpg,nasi_goreng
1002.jpg,rendang
0665.jpg,bakso
0900.jpg,nasi_goreng
0069.jpg,bakso
0527.jpg,bakso
1060.jpg,bakso
0400.jpg,nasi_goreng
0293.jpg,bakso
0794.jpg,nasi_goreng
0892.jpg,bakso
